idproducto;idcentro;nombre;codigo;descripcion
1;1;FILTRO DE AIRE;ADT157863;Repuesto 
2;1;TIJERETA;4587RADADD;Repuesto 
3;1;BUJIAS;85FDTG2345;Repuesto 
4;1;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
5;1;RETROVISOR;GDS0278DW;Repuesto 
6;1;AMORTIGUADORES;SDFCV44574;Repuesto 
7;1;BATERIAS DIENER;89JHTF654;Repuesto 
8;1;TURBINA;ASWD5478;Repuesto 
9;1;COMPRESOR;5367DRTS58;Repuesto 
10;1;RADIADOR;ASDR456455;Repuesto 
11;1;ESCAPE;TYGD5679LL;Repuesto 
12;1;DISCO DE FRENOS;VGT5862DE;Repuesto 
13;1;HALOGENOS;ARTY0986450;Repuesto 
14;1;FILTRO DE AIRE;ADT157863;Repuesto 
15;1;TIJERETA;4587RADADD;Repuesto 
16;1;BUJIAS;85FDTG2345;Repuesto 
17;1;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
18;1;RETROVISOR;GDS0278DW;Repuesto 
19;1;AMORTIGUADORES;SDFCV44574;Repuesto 
20;1;BATERIAS DIENER;89JHTF654;Repuesto 
21;1;TURBINA;ASWD5478;Repuesto 
22;1;COMPRESOR;5367DRTS58;Repuesto 
23;1;RADIADOR;ASDR456455;Repuesto 
24;1;ESCAPE;TYGD5679LL;Repuesto 
25;1;DISCO DE FRENOS;VGT5862DE;Repuesto 
26;1;HALOGENOS;ARTY0986450;Repuesto 
27;2;FILTRO DE AIRE;ADT157863;Repuesto 
28;2;TIJERETA;4587RADADD;Repuesto 
29;2;BUJIAS;85FDTG2345;Repuesto 
30;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
31;2;RETROVISOR;GDS0278DW;Repuesto 
32;2;AMORTIGUADORES;SDFCV44574;Repuesto 
33;2;BATERIAS DIENER;89JHTF654;Repuesto 
34;2;TURBINA;ASWD5478;Repuesto 
35;2;COMPRESOR;5367DRTS58;Repuesto 
36;2;RADIADOR;ASDR456455;Repuesto 
37;2;ESCAPE;TYGD5679LL;Repuesto 
38;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
39;2;HALOGENOS;ARTY0986450;Repuesto 
40;2;FILTRO DE AIRE;ADT157863;Repuesto 
41;2;TIJERETA;4587RADADD;Repuesto 
42;2;BUJIAS;85FDTG2345;Repuesto 
43;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
44;2;RETROVISOR;GDS0278DW;Repuesto 
45;2;AMORTIGUADORES;SDFCV44574;Repuesto 
46;2;BATERIAS DIENER;89JHTF654;Repuesto 
47;2;TURBINA;ASWD5478;Repuesto 
48;2;COMPRESOR;5367DRTS58;Repuesto 
49;2;RADIADOR;ASDR456455;Repuesto 
50;2;ESCAPE;TYGD5679LL;Repuesto 
51;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
52;2;HALOGENOS;ARTY0986450;Repuesto 
53;2;FILTRO DE AIRE;ADT157863;Repuesto 
54;2;TIJERETA;4587RADADD;Repuesto 
55;2;BUJIAS;85FDTG2345;Repuesto 
56;2;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
57;2;RETROVISOR;GDS0278DW;Repuesto 
58;2;AMORTIGUADORES;SDFCV44574;Repuesto 
59;2;BATERIAS DIENER;89JHTF654;Repuesto 
60;2;TURBINA;ASWD5478;Repuesto 
61;2;COMPRESOR;5367DRTS58;Repuesto 
62;2;RADIADOR;ASDR456455;Repuesto 
63;2;ESCAPE;TYGD5679LL;Repuesto 
64;2;DISCO DE FRENOS;VGT5862DE;Repuesto 
65;2;HALOGENOS;ARTY0986450;Repuesto 
66;3;FILTRO DE AIRE;ADT157863;Repuesto 
67;3;TIJERETA;4587RADADD;Repuesto 
68;3;BUJIAS;85FDTG2345;Repuesto 
69;3;PASTILLAS DE FRENO;53556FDS4RT;Repuesto 
70;3;RETROVISOR;GDS0278DW;Repuesto 
71;3;AMORTIGUADORES;SDFCV44574;Repuesto 
72;3;BATERIAS DIENER;89JHTF654;Repuesto 
73;3;TURBINA;ASWD5478;Repuesto 
